id,tags,description,sourse,type,year,related
force,concept,Influence that can cause an object to change its velocity unless counterbalanced by other forces.,,,,
atom,particle,"Basic particle of the chemical element. Consists of a nucleus of protons and generally neutrons, surrounded by an electromagnetically boun sward of electrons.",https://en.wikipedia.org/wiki/Atom,,,
molecule,structure,Group of two or more atoms held together by chemical bonds.,,,,
energy,property,"Quantitative property that is transferred to a body or to a physical system, recognizable in the performance of work and in the form of heat and light.",,,,
mass,property,"Intrinsic property of a body. Belived to be related o the quantity of matter in a body, until the discovery of the atom and particle physics. It was found that different atoms and different elementary oarticles, theoretically with the same amount of matter, have different masses.",https://en.wikipedia.org/wiki/Mass,,,
gas,"matter, state","State of matter characterized by particles that are widely spaced apart and move freely, resulting in no fixed shape or volume.",https://en.wikipedia.org/wiki/Gas,,,
liquid,"matter, state","State of matter characterized by particles that are closely packed thogheter but still able to move past one another, giving it a definite volume but no fixed shape.",https://en.wikipedia.org/wiki/Liquid,,,
solid,"matter, state","State of matter characterized by particles that are closely packed in a fixed, orderly arrangement, resulting in a definite shape and volume. In solids, the particles have limited movement, typically vibrating in place, which gives solid its rigidity and resistance to changes in shape or volume.",https://en.wikipedia.org/wiki/Solid,,,
sound,acoustics,"Vibration that propagates as an acoustic wave through a transmission medum such as a gas, liquid or solid.",https://en.wikipedia.org/wiki/Sound,,,
speed,"mechanics, kinematics",The magniture of the change of its position over time.,,,,
velocity,mechanics,The speed in combination with the direction of motion of an object.,https://en.wikipedia.org/wiki/Velocity,,,
acceleration,mechanics,The rate of change of the velocity of an object with repsect to time.,https://en.wikipedia.org/wiki/Acceleration,,,
impulse,mechanics,Change in momentum of an object.,https://en.wikipedia.org/wiki/Impulse_(physics),,,
newton,"mechanics, newton","The unit of force in the international system of units (SI). One newton is, the force needed to accelerate one kilogram of mass at the rate of one metre per second squared in the direction of the applied force.",https://en.wikipedia.org/wiki/Newton_(unit),,,
momentum,"mechanics, newton",Product of the mass and velocity of an object.,https://en.wikipedia.org/wiki/Momentum,,,
torque,mechanics,"Rotational analogue of linear force. It is also reffered to as the moment of force, or abbreviated to moment. Just as a linear force is a push or pull applied to a body, a torque can be thought of as twist applied to an object with respect to a chosen point.",https://en.wikipedia.org/wiki/Torque,,,
heat,"thermodynamics, phenomena",Thermal energy transferred between systems due to a temperature difference.,https://en.wikipedia.org/wiki/Heat,,,
thermal energy,thermodynamics,Kinetic energy of vibrating an colliding atoms in a substance.,,,,
wave,"physics, mathematics",Propagating dynamic disturbance (change from equilibrium) of one or more quantities.,https://en.wikipedia.org/wiki/Wave,,,
euclidean vector,mathematics,Geometric object that has magniture and direction.,https://en.wikipedia.org/wiki/Euclidean_vector,,,
pi,"mathematics, value, constant","Mathematical constant that is the ratio of a circles circumferense to its diameter, approximately equal to 3.14159.",,,,
electromagnetism,"electrodynamics, fundamental interaction",Interaction that occurs between particles with electric charge via electromagnetic fields.,,,,
electricity,"electrodynamics, phenomena",Set of physical phenomena associated with the presence and motion of matter possessing an electric charge.,,,,
light,"electrodynamics, light",Electromagnetic radiation that can be percieved by the human eye.,,,,
photon,"electrodynamics, light","Elementary massless particle that moves at the speed of light in vacuum, and that is a quantum of the electromagnetic field, including electromagnetic radiation such as light and radio waves, and the force carrier for the electromagnetic force.",https://en.wikipedia.org/wiki/Photon,,,
speed of light,"electrodynamics, light, constant, value","Constant that is equal to 288 792 438 meters per second. According to the special theory of relativity, it is the upper limit for the speed at witch conventional matter or energy can travel throguh space.",https://en.wikipedia.org/wiki/Speed_of_light,,,
radiation,"electrodynamics, light",Emission or transmission of energy in the form of waves or particles through space or a material medium.,https://en.wikipedia.org/wiki/Radiation,,,
gravity,universe,Fundamental interaction observed as mutual attraction between all things that have mass.,,phenomenon,,<card>
vacuum,universe,Space devoid of matter.,https://en.wikipedia.org/wiki/Vacuum,,,
speed of gravity,universe,"A research theam in China announced that it had produced measurements of the phse lag of Earth tides during full and new moons which seem to prove that the speed of gravity is equal to the speed of light. This means that if the Sun suddenly dissapears, the Earth would keep orbiting the vacant point nomrally for 8 minutes, which is the time light takes to travel that distance. The team's findings were released in Science Bulletin in February 2012.",https://en.wikipedia.org/wiki/Speed_of_gravity,,"2012, 2013, 2017",
expansion of the universe,universe,"Observaions show that the expansion of the universe is accelerating, such that the velocity at wich a distant galaxy recedes from the observer is continuouslt increasing with time.",,,1998,
dark ages,universe,"After recombination and decoupling, the universe was transparent and had cooled enough to allow light to travel long distances, but there were no light-producing structures such as stars and galaxies.",https://en.wikipedia.org/wiki/Chronology_of_the_universe#Dark_Ages,,370000 AFB,
reionization,universe,"Process that caused electrically neutrall atoms in the universe to reionize after the lapse of the ""dark ages"".",,,379000 AFB,
material science,"science, field",Field of researching and discovering materials.,https://en.wikipedia.org/wiki/Materials_science,,,
nuclear physics,"science, field","Field of physics that studies atomic nuclei and their constituents and interactions, in addition to the study of other forms of nuclear matter.",,,,
particle physics,"science, study","Study of fundamental particles and forces that constitute matter and radiation. Field also studies combinations of elementary particles up to the scale of protons and neutrons, while the study of combination of protons and neutrons is called nuclear physics.",,,,
thermodynamics,"science, branch","Branch of physics that deals with heat, work, and temperature, and their relation to energy, entropy, and the physcal properties of matter and radiation.",,,,
optics,"science, branch","Branch of physics that studies the behaviour and properties of light, including its interactions with matter and the construction of instruments that use or detect it.",https://en.wikipedia.org/wiki/Optics,,,
classical mechanics,"science, branch","Classical mechanics is the branch of physics that deals with the motion of macroscopic objects under the influence of forces, following principles established by Isaac Newton.",https://en.wikipedia.org/wiki/Classical_mechanics,,,
newtonian mechanics,"science, area, mechanics","Area of physics concerned with the relationship between force, matter, and motion among physical objects. A subset of classical mechanics.",,,,
kinematics,"science, branch, mechanics","Subfield of physics and mathematics, developed in classical mechanics, that describes the motion of points, bodies, and systems of boies without considering the forces that cause them to move.",https://en.wikipedia.org/wiki/Kinematics,,,
acoustics,"science, branch","Interdisciplinary science that deals with the study of mechanical waves in gasses, liquids and solid including vibration, sound, ultrasound, and infrasound.",https://en.wikipedia.org/wiki/Acoustics,,,
