id,tags,description,sourse,type,year,related
gravity,fundamental interaction,Fundamental interaction observed as mutual attraction between all things that have mass.,,phenomenon,,<card>
electromagnetism,fundamental interaction,Interaction that occurs between particles with electric charge via electromagnetic fields.,,,,
force,concept,Influence that can cause an object to change its velocity unless counterbalanced by other forces.,,,,
atom,particle,"Basic particle of the chemical element. Consists of a nucleus of protons and generally neutrons, surrounded by an electromagnetically boun sward of electrons.",https://en.wikipedia.org/wiki/Atom,,,
molecule,structure,Group of two or more atoms held together by chemical bonds.,,,,
electricity,phenomena,Set of physical phenomena associated with the presence and motion of matter possessing an electric charge.,,,,
energy,property,"Quantitative property that is transferred to a body or to a physical system, recognizable in the performance of work and in the form of heat and light.",,,,
heat,phenomena,Thermal energy transferred between systems due to a temperature difference.,https://en.wikipedia.org/wiki/Heat,,,
thermal energy,,Kinetic energy of vibrating an colliding atoms in a substance.,,,,
gas,matter,,,,,
liquid,matter,,,,,
solid,matter,,,,,
mass,,,,,,
velocity,,,,,,
speed,,,,,,
acceleration,,,,,,
momentum,,,,,,
impulse,,,,,,
newton,,,,,,
optics,,,,,,
light,light,,,,,
photon,light,,,,,
speed of light,"""light, constant""",,,,,
wave,,,,,,
radiation,,,,,,
sound,,,,,,
torque,,,,,,
vacuum,,,,,,
vector,,,,,,
mechanics,science,,,,,
material science,science,,,,,
nuclear physics,science,,,,,
particle physics,science,,,,,
thermodynamics,science,,,,,
speed of gravity,universe,"A research theam in China announced that it had produced measurements of the phse lag of Earth tides during full and new moons which seem to prove that the speed of gravity is equal to the speed of light. This means that if the Sun suddenly dissapears; the Earth would keep orbiting the vacant point nomrally for 8 minutes, which is the time light takes to travel that distance. The team's findings were released in Science Bulletin in February 2012.",https://en.wikipedia.org/wiki/Speed_of_gravity,,"2012, 2013, 2017",
expansion of the universe,universe,"Observaions show that the expansion of the universe is accelerating, such that the velocity at wich a distant galaxy recedes from the observer is continuouslt increasing with time.",,,1998,
dark ages,universe,"After recombination and decoupling, the universe was transparent and had cooled enough to allow light to travel long distances, but there were no light-producing structures such as stars and galaxies.",https://en.wikipedia.org/wiki/Chronology_of_the_universe#Dark_Ages,,370000 AFB,
reionization,universe,"Process that caused electrically neutrall atoms in the universe to reionize after the lapse of the ""dark ages"".",,,379000 AFB,
pi,math2,,,,,
